"항목",2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"항목",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"항목",소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범
"발생",320177,7501,41146,59399,70764,1489,22966,116912,309001,6991,39175,56075,75826,1121,23913,105900,309268,6993,42203,54723,80710,1349,23596,99694,296177,6264,38292,48344,85968,1523,23177,92609,257967,5343,33529,41756,68314,1334,21383,86308
"검거",253068,7063,21408,51576,44976,1332,19128,107585,239291,6598,19762,48389,46561,964,19258,97759,235360,6491,21284,47253,47539,1154,19385,92254,219683,5907,19705,41127,48780,1325,18594,84245,189139,4838,17950,35388,36227,1124,16125,77487
