"죄종별(1)",죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
"강력범죄",기타 강간·강제추행등,325,88,96,-,15,-,1,-,-,6,1,49,12,-,-,-,1,-,1,3,-,5,6,-,2,3,4,-,-,-,-,2,8,1,21,237,77,64,-,15,-,-,1,-,-,1,39,11,-,-,-,-,-,-,1,-,-,4,-,-,-,1,-,-,-,-,3,4,-,16,238,78,71,-,8,-,1,1,-,2,1,28,8,1,-,-,-,-,-,3,-,1,2,-,1,1,2,-,-,-,-,4,3,-,22
"강력범죄",방화,1362,353,299,-,241,1,-,2,2,20,27,48,59,47,19,6,6,4,1,3,3,10,9,2,12,7,29,1,-,-,5,40,11,2,93,1228,291,319,-,181,2,3,3,-,20,31,46,56,47,13,10,8,3,1,5,-,13,11,5,13,13,13,2,-,-,-,33,9,2,75,1046,279,246,-,153,-,1,1,-,19,18,40,28,31,17,6,12,3,1,2,-,20,7,1,12,8,15,5,-,-,-,36,9,-,76
"절도범죄",소계,186957,14344,11448,181,45539,3187,7673,5853,2693,14506,4677,6140,15699,3230,1064,1604,1321,1775,596,4073,760,2052,1774,4659,1762,1026,3264,67,17,2,82,9796,1083,3026,11984,179517,16697,10196,161,46861,2695,9273,5944,3065,13629,3951,4325,12641,3323,1264,1175,1068,1524,529,3767,486,1585,852,3660,1362,605,3536,94,12,4,58,10661,887,2051,11576,166409,16482,8535,99,46374,2142,9920,6143,3350,15031,3970,2666,7116,2282,972,1205,1179,1100,435,2840,364,1493,1026,2881,1139,440,3514,71,9,3,56,9891,727,1253,11701
"폭력범죄",소계,287913,42880,27895,385,106735,192,895,2448,183,3783,3359,4984,36025,7256,1348,1251,223,1568,677,4149,316,2299,1962,308,2522,834,1853,186,74,48,61,11980,580,896,17758,265768,41192,25308,394,97005,172,930,2368,155,3596,2851,4584,30762,6617,1284,1169,241,1309,529,3902,257,1876,968,266,2194,501,1953,214,73,43,44,12190,474,728,19619,232661,43041,24346,379,81460,125,808,2071,146,3142,2392,5306,16823,5946,1279,1125,235,1105,450,3809,180,1835,1194,225,1917,463,1963,122,56,52,40,11227,363,546,18490
"폭력범죄",상해,36858,5082,3557,52,12696,21,108,191,30,431,418,704,6539,1331,336,253,33,162,54,345,47,366,527,22,402,116,138,25,10,9,7,817,77,94,1858,32904,4657,3240,55,11451,20,108,184,13,416,386,586,5527,1212,308,231,38,147,31,250,38,326,220,22,351,73,158,23,2,11,9,747,60,78,1926,28453,4876,3014,50,9761,18,90,157,15,347,290,696,3378,1049,336,228,40,120,37,204,26,303,287,12,330,60,147,23,8,8,4,626,34,67,1812
"폭력범죄",폭행,157197,25179,15290,182,58944,125,565,1679,114,1919,1695,2188,22138,3632,705,596,88,1156,562,3267,209,1471,875,105,1664,392,215,61,51,30,14,3276,287,506,8017,139361,23335,13417,184,51704,108,597,1542,102,1768,1301,1801,18864,3304,687,576,95,925,449,3123,147,1105,418,96,1461,176,243,84,51,24,8,3148,244,393,7881,115942,23656,12716,206,41284,77,526,1365,81,1506,1071,1903,9270,2946,657,565,92,796,376,3090,97,1089,516,72,1239,172,241,54,36,31,8,2850,160,294,6900
"폭력범죄",체포·감금,1243,234,149,6,259,1,-,4,1,8,8,111,67,69,4,-,2,5,1,128,2,5,8,1,35,6,2,-,-,-,-,16,7,2,102,1209,210,132,6,244,2,1,4,-,15,10,110,60,50,3,5,2,2,-,152,5,6,10,2,33,7,2,-,1,-,-,19,1,3,112,1165,259,141,6,209,-,1,5,1,14,2,103,51,59,4,3,-,3,-,139,-,3,3,1,28,5,5,-,-,-,-,13,-,4,103
"폭력범죄",협박,21022,4431,3384,101,6367,16,75,196,6,246,152,207,1533,797,67,60,10,42,16,133,10,102,115,28,176,45,48,12,3,4,2,262,7,33,2336,21214,4511,3192,106,6526,11,75,241,11,271,144,191,1467,729,61,48,7,44,15,112,15,101,77,11,141,45,64,11,6,5,-,254,4,39,2679,21058,5052,3338,90,6111,9,54,208,10,281,154,195,1134,693,68,52,9,30,6,117,17,101,90,17,133,32,75,10,1,9,3,265,5,25,2664
"폭력범죄",약취·유인,250,41,26,-,102,-,1,-,-,2,-,11,8,3,-,-,-,3,-,3,-,5,16,1,3,1,-,1,-,-,-,2,2,-,19,210,38,23,-,78,-,-,1,-,1,3,16,2,2,-,-,-,3,-,3,-,6,4,1,1,-,-,-,-,-,-,2,-,-,26,240,50,17,-,112,-,1,1,-,-,1,10,1,4,-,-,-,-,1,3,-,2,7,2,1,2,-,-,-,-,-,3,1,-,21
"폭력범죄",폭력행위등,8350,579,349,3,3923,1,10,32,1,97,121,198,1350,257,35,54,1,28,4,35,6,155,177,5,40,72,31,3,6,-,2,207,45,22,501,7398,565,344,5,3401,2,11,26,1,90,110,147,1114,239,37,61,4,19,-,41,11,130,87,7,36,32,57,3,6,1,2,219,21,15,554,6484,648,351,3,2869,4,12,35,1,62,87,199,644,201,53,55,6,20,4,36,7,122,145,5,43,38,38,3,5,1,1,199,28,20,539
