"죄종별(1)",죄종별(2),죄종별(3),2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),죄종별(3),발생건수 (건),검거건수 (건),발생건수 대비 검거건수 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),불상검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수 대비 검거건수 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),불상검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수 대비 검거건수 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),불상검거인원 (명),법인체 (개)
"기타범죄",아동학대처벌법위반(기타),소계,67,61,91.0,51,18,33,-,-,52,52,100.0,51,30,21,-,-,77,70,90.9,77,44,32,1,-
"기타범죄",액화석유가스의안전및사업관리법,소계,97,96,99.0,110,101,9,-,19,105,102,97.1,142,129,10,3,20,148,142,95.9,180,162,17,1,43
"기타범죄",양곡관리법,소계,2,2,100.0,3,3,-,-,1,1,1,100.0,1,1,-,-,-,1,-,-,3,2,1,-,-
"기타범죄",여객자동차운수사업법,소계,1134,1090,96.1,1496,1388,98,10,36,855,780,91.2,1179,1035,111,33,22,379,358,94.5,584,514,68,2,20
"기타범죄",여권법,소계,26,23,88.5,53,39,13,1,-,37,33,89.2,62,55,6,1,-,8,8,100.0,9,7,1,1,-
"기타범죄",영해및접속수역법,소계,9,9,100.0,11,11,-,-,-,3,3,100.0,6,6,-,-,-,4,4,100.0,5,5,-,-,-
"기타범죄",영화및비디오물의진흥에관한법률,소계,27,27,100.0,32,30,2,-,-,11,11,100.0,17,16,1,-,-,17,17,100.0,30,15,15,-,1
"기타범죄",옥외광고물법위반,소계,216,186,86.1,325,259,30,36,53,158,121,76.6,196,147,20,29,30,139,121,87.1,150,119,19,12,23
"기타범죄",위증죄,소계,1746,1512,86.6,2403,1718,661,24,1,1540,1295,84.1,2106,1496,595,15,2,1290,1063,82.4,1582,1096,473,13,1
"기타범죄",위치정보의보호및이용등에관한법률,소계,121,114,94.2,166,123,36,7,2,142,132,93.0,182,135,39,8,2,195,178,91.3,210,168,36,6,15
"기타범죄",유기와학대의죄,소계,199,81,40.7,138,62,75,1,3,178,92,51.7,155,69,85,1,-,140,66,47.1,116,57,59,-,-
"기타범죄",유선및도선사업법,소계,3612,3606,99.8,68,61,7,-,15,246,246,100.0,40,38,2,-,6,129,129,100.0,25,24,1,-,3
"기타범죄",음반·비디오물및게임물에관한법률,소계,1,1,100.0,1,-,1,-,-,1,1,100.0,1,-,1,-,-,-,-,-,-,-,-,-,-
"기타범죄",음악산업진흥에관한법률,소계,5156,5121,99.3,8416,1805,6503,108,2,3745,3727,99.5,6090,1414,4558,118,-,4077,4026,98.7,6609,1523,5038,48,1
"기타범죄",인질강요·살해·상해,소계,1,1,100.0,1,1,-,-,-,1,1,100.0,-,-,-,-,-,2,1,50.0,2,2,-,-,-
"기타범죄",일수와수리에관한죄,소계,9,7,77.8,7,7,-,-,-,6,4,66.7,6,6,-,-,-,13,12,92.3,29,27,2,-,-
"기타범죄",자동차관리법,소계,16533,15823,95.7,18187,16201,1570,416,365,19437,18300,94.2,20995,18699,1588,708,451,23225,21803,93.9,22941,20798,1643,500,499
"기타범죄",자동차손해배상보장법,소계,4973,4814,96.8,5576,5018,542,16,4,4548,4366,96.0,5363,4829,513,21,3,3849,3695,96.0,4333,4038,282,13,4
"기타범죄",자연공원법,소계,107,102,95.3,113,94,17,2,3,133,129,97.0,163,135,19,9,3,99,86,86.9,113,97,13,3,1
"기타범죄",장물에관한죄,소계,890,860,96.6,1454,1191,231,32,3,601,574,95.5,1127,891,192,44,1,287,264,92.0,619,521,92,6,-
"기타범죄",장사등에관한법률,소계,110,104,94.5,140,131,8,1,13,95,81,85.3,139,126,10,3,3,70,61,87.1,87,83,-,4,2
"기타범죄",재난및안전관리기본법,소계,2,2,100.0,3,3,-,-,-,5,5,100.0,5,5,-,-,2,7,6,85.7,11,7,4,-,2
"기타범죄",전기통신기본법,소계,820,778,94.9,2351,1803,462,86,12,1641,1529,93.2,3869,3090,627,152,3,4567,3793,83.1,5454,3998,1024,432,28
"기타범죄",전파법,소계,970,968,99.8,91,86,5,-,-,61,62,101.6,32,31,1,-,10,1064,1061,99.7,68,59,5,4,2
"기타범죄",정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),소계,36,23,63.9,67,48,7,12,2,34,17,50.0,41,14,7,20,3,25,14,56.0,31,13,14,4,2
