"2017년"," 기소_구공판 구속 "," 기소_구공판 불구속 "," 기소_구약식 "," 소년보호송치 "," 가정보호송치 "," 성매매보호송치 "," 아동보호송치 "," 불기소_기소유예 "," 불기소_혐의없음 "," 불기소_죄가안됨 "," 불기소_공소권없음 "," 기소중지 "," 참고인중지 "," 공소보류 ",
"영유아보육법"," - "," - ","1"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"예비군법"," - ","15","335"," - "," - "," - "," - ","19","8"," - ","8","44"," - "," - ",
"옥외광고물등의관리와옥외광고산업진흥에관한법률"," - ","1","14"," - "," - "," - "," - ","6","5"," - ","2","1"," - "," - ",
"외국환거래법"," - "," - ","3"," - "," - "," - "," - ","5"," - "," - "," - ","1"," - "," - ",
"위험물안전관리법"," - "," - "," - "," - "," - "," - "," - ","1"," - "," - "," - "," - "," - "," - ",
"유사수신행위의규제에관한법률","13","23","1"," - "," - "," - "," - ","4","33"," - ","12","5","3"," - ",
"의료기기법"," - "," - ","12"," - "," - "," - "," - ","3","4"," - "," - "," - "," - "," - ",
"의료법"," - ","13","77"," - "," - "," - "," - ","33","58"," - "," - ","2"," - "," - ",
"자동차관리법"," - ","11","197","4"," - "," - "," - ","213","184"," - ","39","23","1"," - ",
"자동차손해배상보장법"," - ","2","255","9"," - "," - "," - ","38","298"," - ","154","85","2"," - ",
"자본시장과금융투자업에관한법률"," - "," - ","4"," - "," - "," - "," - "," - ","4"," - "," - "," - "," - "," - ",
"저작권법"," - ","2","41"," - "," - "," - "," - ","55","110"," - ","312","120"," - "," - ",
"전자금융거래법","2","117","162","2"," - "," - "," - ","345","102"," - ","39","35","1"," - ",
"전파법"," - "," - ","3"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"정보통신망이용촉진및정보보호등에관한법률","2","20","113","1"," - "," - "," - ","241","133","7","149","42","1"," - ",
"조세범처벌법","1","21","31"," - "," - "," - "," - ","14","47"," - ","20","9","15"," - ",
"주민등록법"," - "," - ","19","9"," - "," - "," - ","39","16"," - ","5","5"," - "," - ",
"주차장법"," - ","1","32"," - "," - "," - "," - ","16","16"," - "," - "," - "," - "," - ",
"주택법"," - ","6","8"," - "," - "," - "," - "," - ","11"," - "," - ","3"," - "," - ",
"직업안정법"," - ","2","27"," - "," - "," - "," - ","3","1"," - ","1","2"," - "," - ",
"집회및시위에관한법률"," - "," - ","3"," - "," - "," - "," - "," - ","3"," - "," - "," - "," - "," - ",
"청소년보호법","1","5","127","3"," - "," - "," - ","116","58"," - "," - ","1"," - "," - ",
"총포·도검·화약류등의안전관리에관한법률"," - "," - "," - "," - "," - "," - "," - ","1"," - "," - "," - "," - "," - "," - ",
"최저임금법"," - "," - ","2"," - "," - "," - "," - ","1","3"," - ","1"," - "," - "," - ",
"축산물위생관리법"," - ","4","45"," - "," - "," - "," - ","13","2"," - ","3"," - "," - "," - ",
