범죄분류,남_6세이하,남_12세이하,남_15세이하,남_20세이하,남_30세이하,남_40세이하,남_50세이하,남_60세이하,남_60세초과,남_미상,여_6세이하,여_12세이하,여_15세이하,여_20세이하,여_30세이하,여_40세이하,여_50세이하,여_60세이하,여_60세초과,여_미상
산림자원의조성및관리에관한법률,0,0,0,0,1,5,20,35,52,20,0,0,0,0,0,0,4,7,2,2
산업안전보건법,0,0,0,0,8,8,33,56,33,102,0,0,0,0,0,1,2,3,0,4
산지관리법,0,0,0,0,2,4,15,27,48,48,0,0,0,0,0,0,4,7,8,6
상표법,0,0,0,2,33,308,196,97,65,36,0,1,0,0,5,43,31,17,14,90
석유및석유대체연료사업법,0,0,0,0,0,1,2,4,2,1,0,0,0,0,1,0,0,1,0,0
선박안전법,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
선박직원법,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
성매매알선등행위의처벌에관한법률,0,0,0,2,10,27,13,14,8,6,0,0,8,44,57,42,10,10,4,5
수도법,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
수산업법,0,0,0,0,0,2,6,19,11,4,0,0,0,0,0,0,0,1,0,0
수산자원관리법,0,0,0,0,0,0,6,5,3,14,0,0,0,0,0,0,1,0,0,0
식품위생법,0,0,0,2,5,20,24,36,22,11,0,0,0,0,3,6,15,16,3,10
신용정보의 이용 및 보호에 관한법률,0,0,0,0,0,5,3,2,1,0,0,0,0,0,0,7,9,0,0,0
아동·청소년의성보호에관한법률(성매수등),0,0,0,1,0,1,2,0,0,0,0,9,92,102,2,1,0,0,0,1
아동·청소년의성보호에관한법률(음란물등),0,4,0,2,5,0,0,1,0,0,0,33,48,48,4,0,0,0,0,1
아동복지법,680,1059,528,254,6,20,13,3,4,3,399,751,764,463,24,57,42,5,10,1
액화석유가스의 안전관리 및 사업법,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1
약사법,1,0,0,0,1,13,13,3,9,8,0,1,0,0,3,7,4,7,2,28
여객자동차운수사업법,0,0,0,2,5,7,16,11,162,4,0,0,0,0,0,1,2,71,0,1
여신전문금융업법,0,0,6,75,338,236,169,161,62,3,0,0,0,82,258,132,126,97,50,3
영유아보육법,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,3,3,1,2,0
예비군법,0,0,0,0,42,8,8,2,12,11,0,0,0,0,0,4,2,0,0,0
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,0,1,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,1,0,0
외국환거래법,0,0,0,0,2,0,3,1,1,17,0,0,0,0,0,2,2,1,0,230
위험물안전관리법,0,0,0,0,0,0,2,4,0,7,0,0,0,0,0,0,0,0,0,0
유사 수신행위의 규제에 관한법률,0,0,0,0,28,43,61,97,129,12,0,0,0,0,20,42,83,161,163,3
의료기기법,0,0,0,0,0,3,1,5,0,4,0,0,0,0,0,2,0,0,0,5
의료법,0,1,2,5,32,63,77,66,71,11,0,0,5,4,41,48,52,44,46,4
자동차관리법,0,0,0,20,60,112,163,155,90,48,0,0,0,0,13,34,46,30,11,5
자동차손해배상보장법,0,0,3,8,63,99,97,132,87,54,1,0,0,2,20,31,30,39,14,8
자본시장과금융투자업에관한법률,0,0,0,0,1,12,10,17,5,3,0,0,0,0,0,7,3,3,1,0
저작권법,1,0,0,9,73,303,765,374,82,52,0,0,0,7,110,151,57,26,17,13
전자금융거래법,0,0,5,51,361,638,1066,994,393,11,0,0,0,39,195,516,847,864,293,2
전파법,0,0,0,0,0,3,1,1,0,3,0,0,0,0,0,0,0,0,0,1
