"항목",2013. 10,2013. 10,2013. 10,2013. 10,2013. 10,2013. 10,2013. 10,2013. 10,2013. 11,2013. 11,2013. 11,2013. 11,2013. 11,2013. 11,2013. 11,2013. 11,2013. 12,2013. 12,2013. 12,2013. 12,2013. 12,2013. 12,2013. 12,2013. 12
"항목",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"항목",소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범,소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범
"발생",35335,669,5690,6016,6762,166,2099,13933,31374,415,4702,5367,6962,115,1988,11825,29560,472,4616,5219,6505,106,1656,10986
"검거",26634,599,1995,5020,4065,144,1853,12958,22712,378,1566,4468,3902,87,1644,10667,20822,333,1282,4209,3759,82,1432,9725
