범죄분류,구공판_구속,구공판_불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지
게임산업진흥에 관한법률,9,48,201,1,0,0,0,223,99,0,6,10,3
결혼중개업의 관리에 관한법률,0,2,6,0,0,0,0,3,7,0,1,0,0
경범죄처벌법,0,1,210,0,0,0,0,87,43,2,8,13,0
고용보험법,0,0,114,0,0,0,0,54,18,0,0,1,0
공유재산 및 물품관리법,0,0,0,0,0,0,0,0,16,0,0,0,0
공인중개사법,0,5,35,0,0,0,0,6,41,0,1,0,0
공중위생관리법,0,10,517,0,0,0,0,105,47,0,17,24,0
공직선거법,0,57,2,0,0,0,0,7,15,1,2,2,0
관세법,2,48,88,0,0,0,0,40,37,0,6,0,0
교통사고처리특례법,6,240,1713,24,0,0,0,361,508,1,6661,24,0
국가기술자격법,0,3,25,0,0,0,0,1,7,0,2,7,0
국가보안법,2,2,0,0,0,0,0,4,6,0,0,0,0
국민체육진흥법,4,12,30,0,0,0,0,14,7,0,0,1,0
국토의계획 및 이용에 관한법률,0,2,7,0,0,0,0,0,4,0,0,0,0
근로기준법,3,170,1154,0,0,0,0,250,125,0,732,319,4
근로자퇴직급여보장법,0,93,366,0,0,0,0,34,27,1,333,95,0
노동조합 및 노동관계조정법,0,0,7,0,0,0,0,0,35,0,0,1,0
농수산물유통 및 가격안정에 관한법률,0,1,0,0,0,0,0,0,0,0,0,0,0
농수산물의 원산지표시에 관한법률,0,1,33,0,0,0,0,10,16,0,0,0,0
농지법,0,2,3,0,0,0,0,1,1,0,0,0,0
대기환경보전법,2,11,282,0,0,0,0,34,45,0,1,0,0
대부업등의 등록 및 금융이용자 보호에 관한법률,3,88,125,0,0,0,0,54,47,0,4,15,3
도로교통법,1,19,573,3,0,0,0,149,130,0,119,11,0
도로교통법(무면허운전),1,66,1832,61,0,0,0,121,673,0,3,28,0
도로교통법(사고후미조치),1,11,138,0,0,0,0,267,375,0,45,17,0
도로교통법(음주운전),5,402,4431,9,0,0,0,65,68,1,5,14,0
도로교통법(음주측정거부),1,20,63,0,0,0,0,0,2,0,0,0,0
도로법,1,0,39,0,0,0,0,8,18,0,4,0,0
도시 및 주거환경정비법,0,0,15,0,0,0,0,0,30,0,1,1,0
독점규제 및 공정거래에 관한법률,1,25,7,0,0,0,0,3,5,0,12,0,0
디자인보호법,0,1,2,0,0,0,0,0,16,0,9,0,0
마약류관리에 관한법률(대마),46,121,3,0,0,0,0,55,19,0,1,4,0
마약류관리에 관한법률(마약),1,10,0,0,0,0,0,8,2,0,0,3,0
마약류관리에 관한법률(향정),246,377,17,0,0,0,0,198,119,0,9,41,6
