"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상,계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상,계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상,계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상,계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상
"죄종별(1)",죄종별(2),소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계,소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계,소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계,소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계,소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계
"폭력범죄",폭행,35781,29652,1803,153,1,86,387,-,303,34,153,686,4326,35819,16503,1909,196,2,70,353,2,335,22,116,813,17407,37763,18634,1498,125,-,58,313,-,262,24,119,597,17631,33022,16703,1227,115,-,65,257,2,215,8,82,483,15092,28624,17007,1024,53,1,46,215,1,180,15,72,441,10593
"폭력범죄",체포·감금,338,132,93,13,-,8,24,-,20,-,7,21,113,281,49,84,10,-,6,13,-,22,-,3,30,148,304,49,79,12,-,9,16,-,5,-,4,33,176,279,40,66,2,-,1,23,-,12,-,5,23,173,283,63,68,5,-,11,11,-,14,4,4,19,152
"폭력범죄",협박,1809,1495,113,8,-,5,29,-,17,3,16,35,201,2225,1205,158,49,-,4,28,-,14,2,12,49,862,2834,1564,146,28,-,10,28,-,17,-,7,56,1124,2867,1584,110,11,-,7,25,-,16,3,5,43,1173,2975,1881,115,3,-,4,25,-,20,1,13,49,979
"폭력범죄",약취·유인,83,36,35,-,-,4,18,-,1,3,1,8,12,86,19,31,-,-,1,15,-,4,-,1,10,36,119,25,32,2,-,1,4,-,2,1,2,20,62,89,20,26,-,-,3,8,-,-,-,-,15,43,92,19,42,-,-,-,16,-,6,-,2,18,31
"폭력범죄",폭력행위등,7622,706,5781,912,-,292,1090,-,1705,124,359,1299,1135,6713,314,5237,849,2,261,1003,-,1451,94,315,1262,1162,6422,359,4698,690,-,218,873,-,1465,53,292,1107,1365,5360,313,3850,451,1,338,645,-,1135,72,260,948,1197,4478,266,3340,389,3,145,660,-,1000,62,223,858,872
"폭력범죄",공갈,479,267,97,11,-,5,19,-,15,1,12,34,115,524,193,95,5,-,5,14,-,27,1,10,33,236,534,198,117,14,-,1,17,-,33,4,12,36,219,587,224,97,5,-,4,7,-,22,2,7,50,266,462,200,82,3,-,2,10,-,13,3,3,48,180
"폭력범죄",손괴,4769,4251,250,10,-,13,40,1,32,2,34,118,268,5036,3634,291,7,-,24,41,-,44,1,23,151,1111,5750,4238,252,6,-,11,43,-,35,-,28,129,1260,5833,4187,255,12,-,14,47,-,27,4,23,128,1391,5727,4167,270,14,-,21,49,-,32,2,31,121,1290
"지능범죄",소계,59883,34614,8548,299,9,929,884,1,591,74,439,5322,16721,67938,22569,10788,234,9,821,868,1,649,58,477,7671,34581,72830,25035,12176,230,8,800,816,2,784,65,481,8990,35619,70646,22601,11394,217,22,730,727,3,830,75,534,8256,36651,49629,17477,10147,119,10,630,536,3,688,39,429,7693,22005
"지능범죄",직무유기,124,48,9,-,-,3,-,-,-,-,-,6,67,163,5,7,-,-,6,-,-,-,-,-,1,151,172,5,12,-,-,5,-,-,-,-,-,7,155,266,10,5,-,-,4,-,-,-,-,-,1,251,161,12,6,-,-,3,-,-,-,-,-,3,143
"지능범죄",직권남용,81,14,10,-,-,8,-,-,-,-,-,2,57,114,5,19,-,-,10,1,-,-,-,-,8,90,140,3,7,-,-,5,-,-,-,-,-,2,130,237,9,12,-,-,7,-,-,-,-,-,5,216,118,-,12,-,-,6,-,-,-,-,-,6,106
"지능범죄",증수뢰,105,29,51,-,-,18,2,-,-,-,2,29,25,198,43,121,-,-,35,1,-,-,-,1,84,34,128,25,71,-,-,3,1,-,-,-,1,66,32,117,41,24,-,-,5,3,-,-,-,-,16,52,103,17,33,-,-,1,4,-,-,-,1,27,53
"지능범죄",통화,22,12,6,-,-,1,2,1,-,-,1,1,4,20,5,8,-,-,-,-,-,-,-,6,2,7,23,7,2,1,-,-,-,-,1,-,-,-,14,14,1,-,-,-,-,-,-,-,-,-,-,13,4,1,-,-,-,-,-,-,-,-,-,-,3
"지능범죄",문서·인장,4248,2281,744,109,3,104,82,-,107,4,15,320,1223,4222,1443,644,87,1,81,59,-,98,3,14,301,2135,4362,1486,748,88,2,76,71,-,81,4,20,406,2128,4187,1380,571,57,1,49,56,-,70,15,19,304,2236,3108,1071,504,30,-,65,62,-,58,3,8,278,1533
"지능범죄",유가증권인지,48,15,9,-,-,2,-,-,-,-,2,5,24,47,10,10,-,1,-,1,-,1,-,-,7,27,38,7,3,-,-,-,-,-,-,-,-,3,28,22,6,2,-,-,-,-,-,-,-,-,2,14,11,3,-,-,-,-,-,-,-,-,-,-,8
"지능범죄",사기,46374,26492,6794,125,6,622,661,-,400,59,360,4561,13088,53319,16877,8952,86,7,508,658,-,472,46,394,6781,27490,57952,19171,10567,107,6,559,635,2,632,51,407,8168,28214,55328,16572,9960,111,21,532,547,3,680,56,475,7535,28796,37534,12135,8870,66,10,436,357,2,542,36,383,7038,16529
"지능범죄",횡령,7517,5178,753,65,-,129,118,-,83,11,56,291,1586,8303,3885,813,61,-,144,107,1,75,9,58,358,3605,8401,4072,631,34,-,127,87,-,68,10,46,259,3698,8825,4336,655,49,-,92,96,-,80,3,39,296,3834,7466,4069,553,22,-,65,93,1,87,-,35,250,2844
"지능범죄",배임,1364,545,172,-,-,42,19,-,1,-,3,107,647,1552,296,214,-,-,37,41,-,3,-,4,129,1042,1614,259,135,-,-,25,22,-,2,-,7,79,1220,1650,246,165,-,-,41,25,-,-,1,1,97,1239,1124,169,169,1,-,54,20,-,1,-,2,91,786
"풍속범죄",소계,4522,1006,3113,19,-,28,10,-,863,69,21,2103,403,4064,707,2817,26,-,31,12,-,840,58,36,1814,540,4001,802,2612,10,-,88,16,-,707,49,43,1699,587,3593,836,2101,33,-,21,11,-,611,106,27,1292,656,2720,809,1481,13,-,26,4,-,477,25,34,902,430
"풍속범죄",성풍속범죄,547,382,108,15,-,15,3,-,12,2,10,51,57,604,335,138,24,-,9,3,-,13,-,24,65,131,564,289,123,8,-,17,5,-,16,-,26,51,152,589,325,119,32,-,6,1,-,20,1,18,41,145,737,464,98,13,-,2,1,-,23,2,24,33,175
"풍속범죄",도박범죄,3975,624,3005,4,-,13,7,-,851,67,11,2052,346,3460,372,2679,2,-,22,9,-,827,58,12,1749,409,3437,513,2489,2,-,71,11,-,691,49,17,1648,435,3004,511,1982,1,-,15,10,-,591,105,9,1251,511,1983,345,1383,-,-,24,3,-,454,23,10,869,255
"특별경제범죄",소계,16682,10383,3306,24,-,280,251,-,110,25,75,2541,2993,18361,8845,3705,19,1,213,231,-,72,11,76,3082,5811,20694,10099,4892,21,9,293,255,-,131,9,79,4095,5703,17472,7859,3954,14,-,347,226,-,87,21,57,3202,5659,11406,5452,2086,8,-,260,227,-,89,7,58,1437,3868
"마약범죄",소계,2064,1457,542,13,6,29,12,-,58,17,153,254,65,1993,1246,601,3,-,32,16,-,65,18,151,316,146,2461,1410,857,9,7,30,34,1,62,37,214,463,194,3227,1889,1088,8,10,42,26,1,103,33,221,644,250,2679,1360,1049,14,7,23,16,-,106,59,213,611,270
"보건범죄",소계,9545,6005,2735,2,-,708,102,2,64,35,10,1812,805,9262,5305,2566,-,-,638,89,-,46,25,9,1759,1391,9795,5534,2743,3,-,791,81,1,59,40,17,1751,1518,11148,6003,3213,1,-,850,78,1,73,24,21,2165,1932,16639,7858,6713,30,-,742,72,-,422,32,37,5378,2068
"환경범죄",소계,464,326,97,-,-,20,3,-,4,-,-,70,41,436,252,106,-,-,9,3,-,-,-,-,94,78,644,337,173,-,-,42,2,-,1,-,1,127,134,318,178,46,-,-,1,3,-,-,-,-,42,94,302,206,34,-,-,2,2,-,-,2,1,27,62
"교통범죄",소계,74215,72493,368,24,-,34,32,-,50,1,55,172,1354,68451,35980,752,13,-,19,27,4,39,4,62,584,31719,69293,33344,625,24,-,19,20,5,69,12,77,399,35324,63638,30445,553,22,2,25,27,-,70,6,75,326,32640,55815,28488,468,18,-,13,17,1,64,6,55,294,26859
"노동범죄",소계,2047,1224,761,7,-,183,67,1,9,1,4,489,62,785,367,337,-,-,64,48,-,10,-,6,209,81,168,86,40,-,-,7,7,-,-,-,1,25,42,133,63,43,-,-,17,3,-,-,-,3,20,27,162,73,66,-,-,14,8,-,-,-,3,41,23
"안보범죄",소계,47,5,38,-,-,-,-,-,2,-,1,35,4,30,7,13,-,-,1,-,-,2,-,1,9,10,99,3,68,5,-,3,-,-,13,-,5,42,28,103,7,90,3,-,4,-,-,33,1,6,43,6,138,3,94,-,-,30,2,-,10,1,6,45,41
"선거범죄",소계,182,109,26,1,-,6,-,-,2,-,-,17,47,773,311,263,4,-,20,12,-,21,-,-,206,199,162,50,68,-,-,24,7,-,4,-,1,32,44,549,70,207,1,-,11,4,-,9,1,1,180,272,58,15,17,-,-,3,3,-,-,-,-,11,26
"병역범죄",소계,168,159,4,-,-,-,1,-,-,-,-,3,5,183,150,10,-,-,-,-,-,1,-,-,9,23,161,140,4,-,-,-,-,-,-,-,-,4,17,12,9,-,-,-,-,-,-,-,-,-,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-
"기타범죄",소계,71328,47877,14448,261,1,1779,1004,2,698,125,255,10323,9003,67193,31922,13665,366,2,1503,936,2,639,99,262,9856,21606,70720,33111,13814,312,5,1815,963,-,638,151,275,9655,23795,66275,31364,10644,254,6,1422,864,3,607,62,252,7174,24267,59454,30795,9076,192,3,1131,1005,-,510,38,236,5961,19583
