"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상
"죄종별(1)",죄종별(2),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"폭력범죄",체포·감금,102,58,21,8,3,3,2,-,3,1,-,1,23,90,50,26,10,2,-,3,2,3,1,-,5,14,118,73,26,8,-,2,-,2,2,-,-,12,19,116,64,27,11,5,2,1,2,-,1,1,4,25,96,36,24,2,9,2,3,1,1,1,-,5,36
"폭력범죄",협박,562,289,122,55,17,9,9,8,4,1,2,17,151,686,374,127,55,24,14,7,6,4,1,4,12,185,777,445,137,56,19,19,12,9,6,2,2,12,195,739,426,145,60,28,13,11,13,5,5,3,7,168,799,456,151,57,27,16,13,11,6,7,2,12,192
"폭력범죄",약취·유인,19,14,1,-,-,-,-,-,-,-,-,1,4,11,8,1,-,1,-,-,-,-,-,-,-,2,13,7,2,-,-,1,-,1,-,-,-,-,4,23,12,7,4,2,-,-,1,-,-,-,-,4,12,7,3,2,1,-,-,-,-,-,-,-,2
"폭력범죄",폭력행위등,7575,4756,2167,901,432,273,137,101,75,56,31,161,652,6827,4392,1908,804,358,215,134,117,63,56,26,135,527,5949,4012,1503,643,279,171,97,67,48,36,24,138,434,4650,2974,1362,544,244,145,101,69,45,43,33,138,314,4563,3020,1216,469,234,144,78,61,45,29,33,123,327
"폭력범죄",공갈,877,464,333,112,61,29,30,21,13,10,8,49,80,877,482,333,112,55,37,24,21,15,10,5,54,62,828,505,267,68,41,36,15,23,18,9,8,49,56,735,391,275,77,47,35,16,23,10,13,8,46,69,663,348,249,53,31,34,20,23,15,8,11,54,66
"폭력범죄",손괴,1403,865,361,148,75,36,29,16,16,7,6,28,177,1411,849,364,144,83,41,23,15,11,11,12,24,198,1453,926,330,128,63,42,25,11,20,10,6,25,197,1433,885,356,149,64,38,26,21,11,6,8,33,192,1480,885,363,134,77,41,16,14,19,8,8,46,232
"지능범죄",소계,9551,5152,2547,832,422,275,198,124,112,86,88,410,1852,9547,5101,2775,865,441,324,225,155,129,93,75,468,1671,10286,5558,2955,871,440,334,196,171,151,108,79,605,1773,11486,6307,3298,975,496,355,232,205,139,119,102,675,1881,9181,5254,2549,767,371,267,201,153,100,101,67,522,1378
"지능범죄",직무유기,4,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",증수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
