"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상
"죄종별(1)",죄종별(2),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"폭력범죄",폭행,35781,10161,8087,3116,1699,976,589,458,259,178,131,681,17533,35819,10353,8261,3166,1634,995,668,449,315,213,148,673,17205,37763,11274,9001,3489,1821,1074,663,484,298,231,141,800,17488,33022,9995,8062,3010,1607,967,600,439,291,219,159,770,14965,28624,10578,7546,2974,1465,922,570,374,265,183,159,634,10500
"폭력범죄",체포·감금,338,115,60,26,14,7,5,2,1,1,1,3,163,281,90,47,19,12,6,3,4,-,-,-,3,144,304,80,48,15,10,8,3,3,4,1,-,4,176,279,70,36,21,7,3,-,2,1,-,-,2,173,283,78,54,23,8,6,4,3,1,2,1,6,151
"폭력범죄",협박,1809,629,492,187,113,69,25,21,19,8,12,38,688,2225,799,570,239,124,50,43,34,14,10,9,47,856,2834,972,744,284,166,87,65,31,23,21,12,55,1118,2867,950,760,291,128,86,60,44,43,25,14,69,1157,2975,1163,846,343,167,107,56,41,28,24,17,63,966
"폭력범죄",약취·유인,83,32,16,7,7,2,-,-,-,-,-,-,35,86,33,17,12,3,1,-,-,-,-,-,1,36,119,35,23,9,5,-,1,-,2,1,1,4,61,89,27,19,11,2,3,-,1,-,-,-,2,43,92,41,20,7,4,4,2,2,-,-,-,1,31
"폭력범죄",폭력행위등,7622,4149,2182,960,480,264,163,91,68,33,22,101,1291,6713,3763,1794,814,376,181,131,92,51,44,28,77,1156,6422,3377,1683,789,331,191,137,83,38,22,24,68,1362,5360,2699,1467,653,324,158,106,66,41,21,25,73,1194,4478,2446,1166,485,247,134,85,56,32,24,15,88,866
"폭력범죄",공갈,479,146,133,56,21,15,6,7,10,1,2,15,200,524,160,134,38,24,20,9,10,7,3,1,22,230,534,183,135,47,21,21,8,7,3,4,4,20,216,587,197,126,40,31,23,9,5,2,6,1,9,264,462,168,118,43,23,13,5,9,5,3,2,15,176
"폭력범죄",손괴,4769,1829,1949,710,350,220,161,116,83,75,41,193,991,5036,1953,1977,677,404,247,152,129,54,63,46,205,1106,5750,2264,2241,808,465,263,177,123,74,58,48,225,1245,5833,2246,2210,765,435,261,193,138,88,69,41,220,1377,5727,2269,2188,759,407,256,190,128,91,68,58,231,1270
"지능범죄",소계,59883,15678,14120,4647,2625,1606,1137,757,586,411,328,2023,30085,67938,17996,15557,5287,2703,1790,1175,929,570,474,320,2309,34385,72830,20893,16505,5735,3039,1870,1217,889,608,467,320,2360,35432,70646,18356,15879,5351,2770,1807,1170,858,617,482,362,2462,36411,49629,15296,12479,4072,2129,1346,915,696,526,412,264,2119,21854
"지능범죄",직무유기,124,17,1,1,-,-,-,-,-,-,-,-,106,163,13,-,-,-,-,-,-,-,-,-,-,150,172,17,-,-,-,-,-,-,-,-,-,-,155,266,17,-,-,-,-,-,-,-,-,-,-,249,161,18,1,1,-,-,-,-,-,-,-,-,142
"지능범죄",직권남용,81,11,3,1,2,-,-,-,-,-,-,-,67,114,23,1,-,-,-,1,-,-,-,-,-,90,140,13,-,-,-,-,-,-,-,-,-,-,127,237,21,2,2,-,-,-,-,-,-,-,-,214,118,12,1,1,-,-,-,-,-,-,-,-,105
"지능범죄",증수뢰,105,50,27,16,5,3,1,-,-,1,-,1,28,198,123,41,17,1,9,2,5,3,2,1,1,34,128,70,27,14,5,3,1,-,-,1,1,2,31,117,46,19,12,2,1,1,2,-,1,-,-,52,103,34,16,1,6,3,1,1,2,-,2,-,53
"지능범죄",통화,22,9,5,1,2,1,-,-,-,1,-,-,8,20,4,9,3,4,1,-,-,-,-,-,1,7,23,6,3,1,-,-,2,-,-,-,-,-,14,14,1,-,-,-,-,-,-,-,-,-,-,13,4,1,-,-,-,-,-,-,-,-,-,-,3
"지능범죄",문서·인장,4248,1475,817,291,168,79,67,46,31,21,13,101,1956,4222,1346,754,269,145,95,55,52,23,20,10,85,2122,4362,1516,738,302,134,71,48,31,28,17,8,99,2108,4187,1262,711,267,117,74,56,41,29,22,26,79,2214,3108,1005,587,231,111,68,34,28,12,26,8,69,1516
"지능범죄",유가증권인지,48,7,12,3,1,1,2,1,-,2,-,2,29,47,1,21,4,4,3,1,3,-,-,1,5,25,38,5,5,2,2,-,-,-,-,-,-,1,28,22,3,6,3,2,-,-,-,-,-,-,1,13,11,2,1,1,-,-,-,-,-,-,-,-,8
"지능범죄",사기,46374,10832,11627,3591,2105,1361,945,647,496,361,300,1821,23915,53319,12944,13045,4212,2223,1516,1011,788,503,425,281,2086,27330,57952,15832,14032,4632,2576,1608,1050,775,537,416,283,2155,28088,55328,13413,13290,4244,2290,1532,991,729,515,418,309,2262,28625,37534,10965,10143,3087,1665,1113,762,584,465,346,230,1891,16426
"지능범죄",횡령,7517,3033,1449,672,295,146,103,55,53,22,14,89,3035,8303,3235,1482,693,289,147,88,69,37,21,24,114,3586,8401,3212,1519,720,284,166,103,70,39,31,18,88,3670,8825,3343,1679,757,325,188,104,74,64,36,22,109,3803,7466,3066,1581,692,322,142,107,74,42,35,24,143,2819
