"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"강력범죄",방화,219,1,-,-,-,-,-,1,-,1,17,5,-,77,12,7,74,25,226,4,1,-,-,-,-,3,-,-,10,-,-,107,16,3,57,29,212,4,1,-,-,-,-,3,-,-,9,-,-,96,13,2,45,43,189,5,1,-,-,-,-,4,-,-,15,2,-,84,15,6,41,21,168,4,-,-,-,-,1,3,-,-,7,2,-,74,11,2,49,19
"절도범죄",소계,25201,6261,1401,132,9,71,10,4638,368,1,24,416,568,7862,72,1008,5956,2665,24100,5221,1137,80,2,40,12,3950,419,-,15,176,326,8592,51,961,4619,3720,26316,5514,1103,46,3,34,9,4319,430,1,12,231,316,9669,59,1041,5042,4001,25760,5666,1117,80,8,21,18,4422,447,-,18,302,286,9361,60,1005,5238,3377,24489,5484,1039,45,1,21,7,4371,370,1,14,287,304,9382,40,966,5215,2426
"폭력범죄",소계,60162,346,70,19,2,2,8,245,25,21,4003,52,22,20306,615,645,11751,22376,59167,340,73,16,2,1,9,239,15,19,3571,45,7,22115,461,496,8836,23262,61928,334,75,22,3,-,10,224,33,16,4373,19,18,23440,452,496,8779,23968,55441,315,54,19,-,-,7,235,52,22,3931,37,10,20958,398,456,8370,20892,48573,287,53,15,2,2,3,212,29,30,4731,72,8,19791,344,489,7978,14814
"폭력범죄",상해,9281,22,4,1,1,-,2,14,2,6,595,6,5,4764,122,118,2558,1083,8483,27,1,-,-,-,1,25,3,3,499,3,1,4763,75,74,1727,1308,8202,26,1,-,-,-,2,23,4,-,546,1,-,4777,58,68,1510,1212,7404,34,6,-,-,-,-,28,3,4,498,1,1,4174,59,71,1426,1133,5932,18,2,-,-,-,-,16,1,13,390,1,-,3510,47,55,1174,723
"폭력범죄",폭행,35781,58,4,2,-,1,4,47,5,3,2709,15,4,9487,251,247,5164,17838,35819,49,8,1,-,-,1,39,3,5,2444,15,2,11091,162,194,4042,17812,37763,43,7,1,-,-,2,33,5,11,2996,5,2,12063,198,176,4193,18071,33022,49,3,-,-,-,5,41,11,8,2658,10,2,10766,163,178,3901,15276,28624,32,6,1,-,-,1,24,11,5,3463,11,2,10332,108,197,3880,10583
"폭력범죄",체포·감금,338,8,-,-,-,-,-,8,1,1,21,-,-,47,7,7,77,169,281,14,5,5,-,-,-,4,-,1,12,-,-,42,1,2,51,158,304,6,1,-,-,-,-,5,1,-,13,-,-,53,2,1,43,185,279,6,-,-,-,-,-,6,1,-,13,1,-,44,1,3,35,175,283,5,-,-,-,-,-,5,-,-,16,-,-,51,3,4,51,153
"폭력범죄",협박,1809,14,1,-,-,-,1,12,-,7,190,-,-,487,22,20,369,700,2225,16,1,-,-,-,-,15,-,7,213,-,-,683,23,21,348,914,2834,15,1,-,-,-,1,13,-,3,280,-,-,880,29,29,392,1206,2867,10,2,-,-,-,1,7,-,3,293,1,1,883,26,21,410,1219,2975,15,2,-,-,-,1,12,1,5,372,1,-,1045,50,35,469,982
"폭력범죄",약취·유인,83,3,2,-,-,-,-,1,-,-,15,-,-,6,-,2,21,36,86,7,2,-,-,-,-,5,-,-,7,-,-,8,-,-,28,36,119,11,5,-,-,-,-,6,-,-,6,-,1,8,2,2,26,63,89,-,-,-,-,-,-,-,4,-,4,-,-,10,2,2,23,44,92,5,3,-,-,-,-,2,-,-,7,-,1,9,-,-,39,31
"폭력범죄",폭력행위등,7622,112,27,11,1,-,1,72,10,2,141,20,9,3619,100,103,2175,1331,6713,110,21,7,-,-,7,75,3,-,103,23,-,3210,75,86,1489,1614,6422,110,27,11,3,-,4,65,7,-,93,10,10,3022,64,73,1382,1651,5360,78,13,15,-,-,-,50,18,1,63,13,3,2438,62,38,1297,1349,4478,73,8,5,1,1,-,58,9,3,65,37,3,2246,54,47,1067,874
"폭력범죄",공갈,479,96,30,5,-,1,-,60,5,-,4,-,2,47,2,12,109,202,524,90,34,3,2,1,-,50,1,-,2,-,4,50,5,6,104,262,534,81,33,10,-,-,1,37,10,-,-,1,2,56,1,6,111,266,587,93,28,4,-,-,-,61,10,-,1,1,3,84,4,8,102,281,462,93,30,9,1,1,1,51,3,-,3,2,1,63,4,7,106,180
"폭력범죄",손괴,4769,33,2,-,-,-,-,31,2,2,328,11,2,1849,111,136,1278,1017,5036,27,1,-,-,-,-,26,5,3,291,4,-,2268,120,113,1047,1158,5750,42,-,-,-,-,-,42,6,2,439,2,3,2581,98,141,1122,1314,5833,45,2,-,-,-,1,42,5,6,401,10,-,2559,81,135,1176,1415,5727,46,2,-,-,-,-,44,4,4,415,20,1,2535,78,144,1192,1288
"지능범죄",소계,59883,10746,4322,172,80,51,127,5994,575,1,12,418,191,1720,14,1641,13980,30585,67938,11556,4674,148,68,36,86,6544,866,-,17,265,191,2253,26,2531,14901,35332,72830,12804,4979,89,80,53,87,7516,964,1,9,163,182,2407,18,2993,16904,36385,70646,12496,5325,102,66,43,48,6912,858,-,16,269,216,2665,13,2251,14793,37069,49629,10471,4835,83,62,38,37,5416,703,-,6,271,165,2493,17,1602,11889,22012
"지능범죄",직무유기,124,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,14,109,163,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,10,150,172,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,14,156,266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,8,251,161,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,15,142
"지능범죄",직권남용,81,1,-,-,-,-,-,1,-,-,-,-,-,-,-,2,11,67,114,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,19,90,140,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,10,128,237,3,-,-,-,-,-,3,-,-,-,-,-,-,-,3,14,217,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,106
"지능범죄",증수뢰,105,20,7,-,-,-,-,13,1,-,-,-,6,1,-,3,45,29,198,15,-,-,-,-,-,15,1,-,-,-,1,2,-,62,83,34,128,18,1,-,-,-,4,13,2,-,-,-,1,1,-,2,73,31,117,22,-,-,-,-,-,22,-,-,-,-,-,-,-,17,26,52,103,11,9,-,-,-,-,2,1,-,-,-,1,3,-,2,32,53
"지능범죄",통화,22,7,2,-,-,-,1,4,-,-,-,-,1,1,-,-,4,9,20,5,3,-,-,-,-,2,-,-,-,-,-,-,-,-,7,8,23,2,1,-,-,-,-,1,-,-,-,-,-,1,-,1,4,15,14,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,13,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3
